node	og	cluster	og_cluster
Anodar_Anodar_ADAC008532-RA	OG0000000	8	OG0000000_8
Anodar_Anodar_ADAC009440-RA	OG0000000	0	OG0000000_0
Anodar_Anodar_ADAC009443-RA	OG0000000	1	OG0000000_1
Anodar_Anodar_ADAC009444-RA	OG0000000	14	OG0000000_14
Anodar_Anodar_ADAC009445-RA	OG0000000	13	OG0000000_13
Anodar_Anodar_ADAC009446-RA	OG0000000		OG0000000_nan
Anodar_Anodar_ADAC009447-RA	OG0000000	19	OG0000000_19
Anodar_Anodar_ADAC009448-RA	OG0000000	6	OG0000000_6
Anodar_Anodar_ADAC009449-RA	OG0000000	2	OG0000000_2
Anodar_Anodar_ADAC009450-RA	OG0000000	3	OG0000000_3
Anodar_Anodar_ADAC009451-RA	OG0000000		OG0000000_nan
Anodar_Anodar_ADAC009453-RA	OG0000000	22	OG0000000_22
Anodar_Anodar_ADAC009455-RA	OG0000000	2	OG0000000_2
Anodar_Anodar_ADAC009456-RA	OG0000000	3	OG0000000_3
Anodar_Anodar_ADAC009966-RA	OG0000000		OG0000000_nan
Anodir_Anodir_ADIR002517-RA	OG0000000	2	OG0000000_2
Anodir_Anodir_ADIR002521-RA	OG0000000	14	OG0000000_14
Anodir_Anodir_ADIR002522-RA	OG0000000	13	OG0000000_13
Anodir_Anodir_ADIR002524-RA	OG0000000	10	OG0000000_10
Anodir_Anodir_ADIR002525-RA	OG0000000	8	OG0000000_8
Anodir_Anodir_ADIR002526-RA	OG0000000	5	OG0000000_5
Anodir_Anodir_ADIR002550-RA	OG0000000	4	OG0000000_4
Anodir_Anodir_ADIR005946-RA	OG0000000	18	OG0000000_18
Anodir_Anodir_ADIR010305-RA	OG0000000	9	OG0000000_9
Anodir_Anodir_ADIR010312-RA	OG0000000	12	OG0000000_12
Anodir_Anodir_ADIR010313-RA	OG0000000	20	OG0000000_20
Anodir_Anodir_ADIR015700-RA	OG0000000	0	OG0000000_0
Anodir_Anodir_ADIR015702-RA	OG0000000	3	OG0000000_3
Anodir_Anodir_ADIR015809-RA	OG0000000	1	OG0000000_1
Anodir_Anodir_ADIR015810-RD	OG0000000	6	OG0000000_6
Anodir_Anodir_ADIR015811-RA	OG0000000	15	OG0000000_15
Anodir_Anodir_ADIR015812-RA	OG0000000	7	OG0000000_7
Anoepi_Anoepi_AEPI000292-RA	OG0000000	9	OG0000000_9
Anoepi_Anoepi_AEPI002800-RA	OG0000000	15	OG0000000_15
Anoepi_Anoepi_AEPI002801-RA	OG0000000	8	OG0000000_8
Anoepi_Anoepi_AEPI002802-RA	OG0000000	5	OG0000000_5
Anoepi_Anoepi_AEPI004158-RA	OG0000000	18	OG0000000_18
Anoepi_Anoepi_AEPI015220-RA	OG0000000	7	OG0000000_7
Anofar_Anofar_AFAF001351-RA	OG0000000	20	OG0000000_20
Anofar_Anofar_AFAF002051-RA	OG0000000	21	OG0000000_21
Anofar_Anofar_AFAF002141-RA	OG0000000	22	OG0000000_22
Anofar_Anofar_AFAF002363-RA	OG0000000	19	OG0000000_19
Anofar_Anofar_AFAF003081-RA	OG0000000	1	OG0000000_1
Anofar_Anofar_AFAF003522-RA	OG0000000	4	OG0000000_4
Anofar_Anofar_AFAF007873-RA	OG0000000	8	OG0000000_8
Anofar_Anofar_AFAF009375-RA	OG0000000	6	OG0000000_6
Anofar_Anofar_AFAF009424-RA	OG0000000	5	OG0000000_5
Anofar_Anofar_AFAF009651-RA	OG0000000	3	OG0000000_3
Anofar_Anofar_AFAF010429-RA	OG0000000	15	OG0000000_15
Anofar_Anofar_AFAF013203-RA	OG0000000	18	OG0000000_18
Anofar_Anofar_AFAF013769-RA	OG0000000	10	OG0000000_10
Anofar_Anofar_AFAF015085-RA	OG0000000	13	OG0000000_13
Anofar_Anofar_AFAF015100-RA	OG0000000	14	OG0000000_14
Anofar_Anofar_AFAF017373-RA	OG0000000	12	OG0000000_12
Anofar_Anofar_AFAF018429-RA	OG0000000	2	OG0000000_2
Anofar_Anofar_AFAF019041-RA	OG0000000	7	OG0000000_7
Anofar_Anofar_AFAF019461-RA	OG0000000	0	OG0000000_0
Anofar_Anofar_AFAF020562-RA	OG0000000	9	OG0000000_9
Anofar_Anofar_AFAF020858-RA	OG0000000	17	OG0000000_17
Anofun_Anofun_AFUN001522-RA	OG0000000	4	OG0000000_4
Anofun_Anofun_AFUN001547-RA	OG0000000	5	OG0000000_5
Anofun_Anofun_AFUN001548-RA	OG0000000	10	OG0000000_10
Anofun_Anofun_AFUN001549-RA	OG0000000	13	OG0000000_13
Anofun_Anofun_AFUN001551-RA	OG0000000	0	OG0000000_0
Anofun_Anofun_AFUN001553-RA	OG0000000	19	OG0000000_19
Anofun_Anofun_AFUN001554-RA	OG0000000	6	OG0000000_6
Anofun_Anofun_AFUN001555-RA	OG0000000	2	OG0000000_2
Anofun_Anofun_AFUN001556-RA	OG0000000	3	OG0000000_3
Anofun_Anofun_AFUN005331-RA	OG0000000	18	OG0000000_18
Anofun_Anofun_AFUN009111-RA	OG0000000	20	OG0000000_20
Anofun_Anofun_AFUN009112-RA	OG0000000	12	OG0000000_12
Anofun_Anofun_AFUN009117-RA	OG0000000	9	OG0000000_9
Anofun_Anofun_AFUN016356-RA	OG0000000	14	OG0000000_14
Anogam_Anogam_AGAP002551-RA	OG0000000	20	OG0000000_20
Anogam_Anogam_AGAP002552-RA	OG0000000	12	OG0000000_12
Anogam_Anogam_AGAP002557-RA	OG0000000	9	OG0000000_9
Anogam_Anogam_AGAP003750-RA	OG0000000	4	OG0000000_4
Anogam_Anogam_AGAP003780-RA	OG0000000	5	OG0000000_5
Anogam_Anogam_AGAP003781-RA	OG0000000	10	OG0000000_10
Anogam_Anogam_AGAP003782-RA	OG0000000	13	OG0000000_13
Anogam_Anogam_AGAP003783-RB	OG0000000	14	OG0000000_14
Anogam_Anogam_AGAP003784-RA	OG0000000	0	OG0000000_0
Anogam_Anogam_AGAP003785-RE	OG0000000	22	OG0000000_22
Anogam_Anogam_AGAP003786-RA	OG0000000	1	OG0000000_1
Anogam_Anogam_AGAP003787-RA	OG0000000	2	OG0000000_2
Anogam_Anogam_AGAP003788-RA	OG0000000	3	OG0000000_3
Anogam_Anogam_AGAP009540-RA	OG0000000	18	OG0000000_18
Anogam_Anogam_AGAP009541-RA	OG0000000	18	OG0000000_18
Anogam_Anogam_AGAP012263-RA	OG0000000		OG0000000_nan
Anogam_Anogam_AGAP012609-RA	OG0000000	22	OG0000000_22
Anogam_Anogam_AGAP012649-RA	OG0000000	18	OG0000000_18
Anogam_Anogam_AGAP012882-RA	OG0000000	2	OG0000000_2
Anogam_Anogam_AGAP012979-RA	OG0000000	15	OG0000000_15
Anogam_Anogam_AGAP013016-RA	OG0000000	15	OG0000000_15
Anogam_Anogam_AGAP013123-RA	OG0000000	8	OG0000000_8
Anogam_Anogam_AGAP013492-RA	OG0000000	7	OG0000000_7
Anomac_Anomac_AMAM001903-RA	OG0000000	9	OG0000000_9
Anomac_Anomac_AMAM002542-RA	OG0000000	9	OG0000000_9
Anomac_Anomac_AMAM004818-RA	OG0000000	13	OG0000000_13
Anomac_Anomac_AMAM004838-RA	OG0000000	19	OG0000000_19
Anomac_Anomac_AMAM004874-RA	OG0000000	16	OG0000000_16
Anomac_Anomac_AMAM004971-RA	OG0000000	17	OG0000000_17
Anomac_Anomac_AMAM005965-RA	OG0000000	18	OG0000000_18
Anomac_Anomac_AMAM008228-RA	OG0000000	20	OG0000000_20
Anomac_Anomac_AMAM009016-RA	OG0000000	5	OG0000000_5
Anomac_Anomac_AMAM009412-RA	OG0000000	4	OG0000000_4
Anomac_Anomac_AMAM010619-RA	OG0000000	14	OG0000000_14
Anomac_Anomac_AMAM011690-RA	OG0000000	8	OG0000000_8
Anomac_Anomac_AMAM014241-RA	OG0000000	12	OG0000000_12
Anomac_Anomac_AMAM015188-RA	OG0000000	6	OG0000000_6
Anomac_Anomac_AMAM015765-RA	OG0000000	10	OG0000000_10
Anomac_Anomac_AMAM017820-RA	OG0000000	16	OG0000000_16
Anomac_Anomac_AMAM018557-RA	OG0000000	8	OG0000000_8
Anomac_Anomac_AMAM019114-RA	OG0000000	1	OG0000000_1
Anomac_Anomac_AMAM019556-RA	OG0000000	15	OG0000000_15
Anomac_Anomac_AMAM020304-RA	OG0000000	20	OG0000000_20
Anomac_Anomac_AMAM024188-RA	OG0000000	3	OG0000000_3
Anomin_Anomin_AMIN001917-RA	OG0000000	18	OG0000000_18
Anomin_Anomin_AMIN002560-RA	OG0000000	20	OG0000000_20
Anomin_Anomin_AMIN002561-RA	OG0000000	12	OG0000000_12
Anomin_Anomin_AMIN002568-RA	OG0000000	9	OG0000000_9
Anomin_Anomin_AMIN002911-RA	OG0000000	3	OG0000000_3
Anomin_Anomin_AMIN002912-RA	OG0000000	2	OG0000000_2
Anomin_Anomin_AMIN002913-RA	OG0000000	1	OG0000000_1
Anomin_Anomin_AMIN002914-RA	OG0000000	0	OG0000000_0
Anomin_Anomin_AMIN002916-RA	OG0000000	14	OG0000000_14
Anomin_Anomin_AMIN002917-RA	OG0000000	13	OG0000000_13
Anomin_Anomin_AMIN002918-RA	OG0000000	10	OG0000000_10
Anomin_Anomin_AMIN002919-RA	OG0000000	5	OG0000000_5
Anomin_Anomin_AMIN015868-RA	OG0000000	4	OG0000000_4
Anosin_Anosin_ASIS000026-RA	OG0000000	16	OG0000000_16
Anosin_Anosin_ASIS002244-RA	OG0000000	17	OG0000000_17
Anosin_Anosin_ASIS002480-RA	OG0000000	0	OG0000000_0
Anosin_Anosin_ASIS003027-RA	OG0000000	10	OG0000000_10
Anosin_Anosin_ASIS005118-RA	OG0000000	1	OG0000000_1
Anosin_Anosin_ASIS005155-RA	OG0000000	20	OG0000000_20
Anosin_Anosin_ASIS007177-RA	OG0000000	23	OG0000000_23
Anosin_Anosin_ASIS007858-RA	OG0000000	2	OG0000000_2
Anosin_Anosin_ASIS009069-RA	OG0000000	20	OG0000000_20
Anosin_Anosin_ASIS009308-RA	OG0000000	14	OG0000000_14
Anosin_Anosin_ASIS011601-RA	OG0000000	8	OG0000000_8
Anosin_Anosin_ASIS013204-RA	OG0000000	3	OG0000000_3
Anosin_Anosin_ASIS014029-RA	OG0000000	5	OG0000000_5
Anosin_Anosin_ASIS014521-RA	OG0000000	22	OG0000000_22
Anosin_Anosin_ASIS014569-RA	OG0000000	9	OG0000000_9
Anosin_Anosin_ASIS016543-RA	OG0000000	7	OG0000000_7
Anosin_Anosin_ASIS017809-RA	OG0000000	19	OG0000000_19
Anosin_Anosin_ASIS019434-RA	OG0000000	12	OG0000000_12
Anosin_Anosin_ASIS020835-RA	OG0000000	4	OG0000000_4
Anosin_Anosin_ASIS020857-RA	OG0000000	13	OG0000000_13
Anoste_Anoste_ASTEI00886-RA	OG0000000	3	OG0000000_3
Anoste_Anoste_ASTEI00887-RA	OG0000000	2	OG0000000_2
Anoste_Anoste_ASTEI00889-RA	OG0000000	8	OG0000000_8
Anoste_Anoste_ASTEI03802-RA	OG0000000	18	OG0000000_18
Anoste_Anoste_ASTEI08000-RA	OG0000000	20	OG0000000_20
Anoste_Anoste_ASTEI10727-RA	OG0000000	9	OG0000000_9
Anoste_Anoste_ASTEI11070-RA	OG0000000	12	OG0000000_12
Anoalb_Anoalb_AALB001849-RA	OG0000001	5	OG0000001_5
Anoalb_Anoalb_AALB001852-RA	OG0000001	2	OG0000001_2
Anoalb_Anoalb_AALB009920-RA	OG0000001	4	OG0000001_4
Anoalb_Anoalb_AALB015572-RA	OG0000001	15	OG0000001_15
Anoalb_Anoalb_AALB015573-RA	OG0000001	17	OG0000001_17
Anoalb_Anoalb_AALB015574-RA	OG0000001	18	OG0000001_18
Anoalb_Anoalb_AALB015575-RA	OG0000001	14	OG0000001_14
Anoalb_Anoalb_AALB015576-RA	OG0000001	19	OG0000001_19
Anoalb_Anoalb_AALB015584-RA	OG0000001	3	OG0000001_3
Anoalb_Anoalb_AALB015585-RA	OG0000001	7	OG0000001_7
Anoalb_Anoalb_AALB015588-RA	OG0000001	20	OG0000001_20
Anoalb_Anoalb_AALB015589-RA	OG0000001	0	OG0000001_0
Anoalb_Anoalb_AALB015619-RA	OG0000001	8	OG0000001_8
Anoalb_Anoalb_AALB015620-RA	OG0000001	12	OG0000001_12
Anoalb_Anoalb_AALB015621-RA	OG0000001	13	OG0000001_13
Anoalb_Anoalb_AALB015622-RA	OG0000001	16	OG0000001_16
Anoalb_Anoalb_AALB015623-RA	OG0000001	10	OG0000001_10
Anoalb_Anoalb_AALB015624-RA	OG0000001	6	OG0000001_6
Anoalb_Anoalb_AALB015735-RA	OG0000001	21	OG0000001_21
Anoalb_Anoalb_AALB015736-RA	OG0000001	1	OG0000001_1
Anoalb_Anoalb_AALB015737-RA	OG0000001		OG0000001_nan
Anoatr_Anoatr_AATE000271-RA	OG0000001	4	OG0000001_4
Anoatr_Anoatr_AATE000295-RA	OG0000001	18	OG0000001_18
Anoatr_Anoatr_AATE001716-RA	OG0000001	5	OG0000001_5
Anoatr_Anoatr_AATE002357-RA	OG0000001	17	OG0000001_17
Anoatr_Anoatr_AATE002672-RA	OG0000001	6	OG0000001_6
Anoatr_Anoatr_AATE006465-RA	OG0000001	20	OG0000001_20
Anoatr_Anoatr_AATE007323-RA	OG0000001	13	OG0000001_13
Anoatr_Anoatr_AATE007802-RA	OG0000001	16	OG0000001_16
Anoatr_Anoatr_AATE011402-RA	OG0000001	12	OG0000001_12
Anoatr_Anoatr_AATE012713-RA	OG0000001	1	OG0000001_1
Anoatr_Anoatr_AATE013000-RA	OG0000001	14	OG0000001_14
Anoatr_Anoatr_AATE013080-RA	OG0000001	0	OG0000001_0
Anoatr_Anoatr_AATE013389-RA	OG0000001	2	OG0000001_2
Anoatr_Anoatr_AATE015748-RA	OG0000001	8	OG0000001_8
Anoatr_Anoatr_AATE018616-RA	OG0000001	19	OG0000001_19
Anoatr_Anoatr_AATE020700-RA	OG0000001	15	OG0000001_15
Anoatr_Anoatr_AATE021704-RA	OG0000001	11	OG0000001_11
Anoatr_Anoatr_AATE021705-RA	OG0000001	9	OG0000001_9
Anochr_Anochr_ACHR001905-RA	OG0000001	4	OG0000001_4
Anochr_Anochr_ACHR004411-RA	OG0000001	18	OG0000001_18
Anochr_Anochr_ACHR004412-RA	OG0000001	5	OG0000001_5
Anochr_Anochr_ACHR005245-RA	OG0000001	13	OG0000001_13
Anochr_Anochr_ACHR008940-RA	OG0000001	1	OG0000001_1
Anochr_Anochr_ACHR008941-RA	OG0000001	2	OG0000001_2
Anocul_Anocul_ACUA002167-RA	OG0000001	2	OG0000001_2
Anocul_Anocul_ACUA002332-RA	OG0000001	6	OG0000001_6
Anocul_Anocul_ACUA002823-RA	OG0000001	20	OG0000001_20
Anocul_Anocul_ACUA004175-RA	OG0000001	5	OG0000001_5
Anocul_Anocul_ACUA004667-RA	OG0000001	14	OG0000001_14
Anocul_Anocul_ACUA006792-RA	OG0000001	9	OG0000001_9
Anocul_Anocul_ACUA007205-RA	OG0000001	7	OG0000001_7
Anocul_Anocul_ACUA008332-RA	OG0000001	1	OG0000001_1
Anocul_Anocul_ACUA011494-RA	OG0000001	4	OG0000001_4
Anocul_Anocul_ACUA014797-RA	OG0000001	5	OG0000001_5
Anocul_Anocul_ACUA015589-RA	OG0000001	5	OG0000001_5
Anocul_Anocul_ACUA018140-RA	OG0000001	7	OG0000001_7
Anocul_Anocul_ACUA020263-RA	OG0000001	1	OG0000001_1
Anocul_Anocul_ACUA021425-RA	OG0000001	8	OG0000001_8
Anocul_Anocul_ACUA022042-RA	OG0000001	13	OG0000001_13
Anocul_Anocul_ACUA022152-RA	OG0000001	11	OG0000001_11
Anocul_Anocul_ACUA022181-RA	OG0000001	12	OG0000001_12
Anocul_Anocul_ACUA024793-RA	OG0000001	18	OG0000001_18
Anocul_Anocul_ACUA025166-RA	OG0000001	0	OG0000001_0
Anocul_Anocul_ACUA025674-RA	OG0000001	16	OG0000001_16
Anocul_Anocul_ACUA025948-RA	OG0000001	15	OG0000001_15
Anocul_Anocul_ACUA028009-RA	OG0000001	10	OG0000001_10
Anodar_Anodar_ADAC000264-RA	OG0000001	4	OG0000001_4
Anodar_Anodar_ADAC001783-RA	OG0000001	20	OG0000001_20
Anodar_Anodar_ADAC001784-RA	OG0000001	0	OG0000001_0
Anodar_Anodar_ADAC002555-RA	OG0000001	18	OG0000001_18
Anodar_Anodar_ADAC002556-RA	OG0000001	3	OG0000001_3
Anodar_Anodar_ADAC002557-RA	OG0000001	14	OG0000001_14
Anodar_Anodar_ADAC002558-RA	OG0000001	2	OG0000001_2
Anodar_Anodar_ADAC002559-RA	OG0000001	15	OG0000001_15
Anodar_Anodar_ADAC002560-RA	OG0000001		OG0000001_nan
Anodar_Anodar_ADAC002561-RA	OG0000001	1	OG0000001_1
Anodar_Anodar_ADAC002562-RA	OG0000001	21	OG0000001_21
Anodar_Anodar_ADAC002563-RA	OG0000001	19	OG0000001_19
Anodar_Anodar_ADAC002564-RA	OG0000001	17	OG0000001_17
Anodar_Anodar_ADAC002565-RA	OG0000001	7	OG0000001_7
Anodar_Anodar_ADAC002566-RA	OG0000001	5	OG0000001_5
Anodar_Anodar_ADAC010276-RA	OG0000001	8	OG0000001_8
Anodar_Anodar_ADAC010277-RA	OG0000001	16	OG0000001_16
Anodar_Anodar_ADAC010278-RA	OG0000001	12	OG0000001_12
Anodar_Anodar_ADAC010279-RA	OG0000001	10	OG0000001_10
Anodar_Anodar_ADAC010280-RA	OG0000001	13	OG0000001_13
Anodar_Anodar_ADAC010281-RA	OG0000001	6	OG0000001_6
Anodir_Anodir_ADIR002023-RA	OG0000001	4	OG0000001_4
Anodir_Anodir_ADIR003458-RA	OG0000001	8	OG0000001_8
Anodir_Anodir_ADIR006361-RA	OG0000001	2	OG0000001_2
Anodir_Anodir_ADIR016070-RA	OG0000001	5	OG0000001_5
Anodir_Anodir_ADIR016071-RA	OG0000001	5	OG0000001_5
Anodir_Anodir_ADIR016072-RA	OG0000001	18	OG0000001_18
Anodir_Anodir_ADIR016073-RA	OG0000001	14	OG0000001_14
Anodir_Anodir_ADIR016074-RA	OG0000001	15	OG0000001_15
Anodir_Anodir_ADIR016075-RA	OG0000001	17	OG0000001_17
Anodir_Anodir_ADIR016076-RA	OG0000001	11	OG0000001_11
Anodir_Anodir_ADIR016077-RA	OG0000001	1	OG0000001_1
Anodir_Anodir_ADIR016078-RA	OG0000001	9	OG0000001_9
Anoepi_Anoepi_AEPI015016-RA	OG0000001	20	OG0000001_20
Anoepi_Anoepi_AEPI015017-RA	OG0000001	0	OG0000001_0
Anoepi_Anoepi_AEPI015019-RA	OG0000001	6	OG0000001_6
Anoepi_Anoepi_AEPI015020-RA	OG0000001	10	OG0000001_10
Anoepi_Anoepi_AEPI015021-RA	OG0000001	16	OG0000001_16
Anoepi_Anoepi_AEPI015022-RA	OG0000001	13	OG0000001_13
Anoepi_Anoepi_AEPI015023-RA	OG0000001	4	OG0000001_4
Anoepi_Anoepi_AEPI015024-RA	OG0000001	5	OG0000001_5
Anoepi_Anoepi_AEPI015025-RA	OG0000001	5	OG0000001_5
Anoepi_Anoepi_AEPI015026-RA	OG0000001	17	OG0000001_17
Anoepi_Anoepi_AEPI015027-RA	OG0000001	18	OG0000001_18
Anoepi_Anoepi_AEPI015028-RA	OG0000001	7	OG0000001_7
Anoepi_Anoepi_AEPI015029-RA	OG0000001	1	OG0000001_1
Anoepi_Anoepi_AEPI015035-RA	OG0000001	11	OG0000001_11
Anoepi_Anoepi_AEPI015036-RA	OG0000001	9	OG0000001_9
Anoepi_Anoepi_AEPI015037-RA	OG0000001	12	OG0000001_12
Anoepi_Anoepi_AEPI015038-RA	OG0000001	8	OG0000001_8
Anoepi_Anoepi_AEPI015157-RA	OG0000001	2	OG0000001_2
Anoepi_Anoepi_AEPI015158-RA	OG0000001	14	OG0000001_14
Anoepi_Anoepi_AEPI015159-RA	OG0000001	2	OG0000001_2
Anofar_Anofar_AFAF002454-RA	OG0000001	8	OG0000001_8
Anofar_Anofar_AFAF003983-RA	OG0000001	5	OG0000001_5
Anofar_Anofar_AFAF004163-RA	OG0000001	5	OG0000001_5
Anofar_Anofar_AFAF004261-RA	OG0000001	7	OG0000001_7
Anofar_Anofar_AFAF005068-RA	OG0000001	1	OG0000001_1
Anofar_Anofar_AFAF005455-RA	OG0000001	18	OG0000001_18
Anofar_Anofar_AFAF006820-RA	OG0000001	4	OG0000001_4
Anofar_Anofar_AFAF007398-RA	OG0000001	6	OG0000001_6
Anofar_Anofar_AFAF008656-RA	OG0000001	15	OG0000001_15
Anofar_Anofar_AFAF012687-RA	OG0000001	2	OG0000001_2
Anofar_Anofar_AFAF012919-RA	OG0000001	17	OG0000001_17
Anofar_Anofar_AFAF016458-RA	OG0000001	12	OG0000001_12
Anofar_Anofar_AFAF016712-RA	OG0000001	11	OG0000001_11
Anofar_Anofar_AFAF016931-RA	OG0000001	13	OG0000001_13
Anofar_Anofar_AFAF017829-RA	OG0000001	0	OG0000001_0
Anofar_Anofar_AFAF020660-RA	OG0000001	14	OG0000001_14
Anofun_Anofun_AFUN006702-RA	OG0000001	4	OG0000001_4
Anofun_Anofun_AFUN010918-RA	OG0000001	2	OG0000001_2
Anofun_Anofun_AFUN010919-RA	OG0000001	7	OG0000001_7
Anofun_Anofun_AFUN010921-RA	OG0000001	7	OG0000001_7
Anofun_Anofun_AFUN015714-RA	OG0000001	6	OG0000001_6
Anofun_Anofun_AFUN015785-RA	OG0000001	20	OG0000001_20
Anofun_Anofun_AFUN015786-RA	OG0000001	0	OG0000001_0
Anofun_Anofun_AFUN015792-RA	OG0000001	8	OG0000001_8
Anofun_Anofun_AFUN015794-RA	OG0000001	1	OG0000001_1
Anofun_Anofun_AFUN015795-RA	OG0000001	11	OG0000001_11
